sentence_no,text
38,"Whipping, roaring waves of the ocean! The dark clouds do not disperse!"
39,"In the sky's playground, clouds play hide and seek like children!"
40,"The universe stands still, like a fallen sky - the bright full moon frightens me!"
41,"In cities, on rooftops, on vast plains, in mountain caves, on the edges, in the seas, in the winds, in the skies, echoing everywhere"
42,"No one is in the fort, it's silent. Evening shadows are falling, like bats fluttering inside the fort."
43,"A skull of shattered weapons, in the eye sockets, it looks like a bird observing with unseen eyes, it's a fort."
44,"Inside the fort, there are countless birds. From a distance, a single flower that bloomed, looking like blinking eyes, it's fluttering around the fort."
45,"A unfortunate being, at dawn, he disappeared in that fort."
46,"His lamp in that fort    Shines brightly.    In the darkness, it glows    Observing many directions.    In the deer's eyes    It stands like lions."
47,"On the knife's edge,    It's as sharp as a sword.    In the darkness, it stands    Observing many directions.    The lamp."
48,"Unexpectedly, that lamp    Saw the stars in the sky.    It wore a demon's attire.    The stars shone brightly with respect.    Alas, it went out, the lamp.    The stars beckoned it.    The lamp flickered.    It turned into a star."
49,"No one is in the fort,    Silent is the fort.    Evening shadows fall,    Like sparks in the fort."
50,"In the midst of shattered weapons,    In the eyes of the bone cluster,    It observes with unseen eyes,    The fort."
51,"Inside the fort, there are many echoes.    A flower blooming from a distance,    Shining stars blink in succession,    Dancing with the top of the fort."
52,"A unfortunate being,    At dawn, he disappeared in that fort."
53,"His lamp in that fort    Shines brightly.    In the darkness, it glows    Observing many directions.    In the deer's eyes    It stands like lions."
54,"On the knife's edge,    It's as sharp as a sword.    In the darkness, it stands    Observing many directions.    The lamp."
55,"Unexpectedly, that lamp    Saw the stars in the sky.    It wore a demon's attire.    The stars shone brightly with respect.    Alas, it went out, the lamp.    The stars beckoned it.    The lamp flickered.    It turned into a star."
56,"Little puppies, tiny embers, burnt matches,    Don't see these as lowly!    All that's poetic,    Even in crumbs, shards, pieces of grass,    They exist while looking at you!    We can't ignore their beauty!    The glow of a dewdrop, a dew's tear, a pearl's reflection,    Isn't it worthy of poetry?    A craft without an artist!    The spirit of poetry itself!    A direction without taste!    Beauty without being found!    Look at the stones,    Speak if you can!    The world is a lotus formation!    Poetry is an unquenchable thirst!"
57,"Little puppies, tiny embers, burnt matches,    Don't see these as lowly!    All that's poetic,    Even in crumbs, shards, pieces of grass,    They exist while looking at you!    We can't ignore their beauty!    The glow of a dewdrop, a dew's tear, a pearl's reflection,    Isn't it worthy of poetry?    A craft without an artist!    The spirit of poetry itself!    A direction without taste!    Beauty without being found!    Look at the stones,    Speak if you can!    The world is a lotus formation!    Poetry is an unquenchable thirst!"
58,"For the sake of the group, to protect the calf in the city - the mother, with ears pinned back, runs away, leaving behind her calf for three days. With a rapid pace resembling the movement of a boat on the ocean, turning around, circling, and making cries  if a high fever rises, fear comes, and she starts murmuring - if she becomes restless, if she staggers, if she walks haphazardly, if she hesitates and stumbles, the difficulty she undergoes is immense!"
59,"In the eyes that shed tears, what does the mother see in her memories? Like fluttering eyelids, a very intense headache, extreme pain as if struck by lightning, during the night, like a weeping willow, her eyes cast down, with a scene of her mother’s gaze, as if counting ants, feeling an inexplicable ache - her eyes are swollen, her ears are buzzing, the difficulty she faces is unbearable!"
60,"It's not just about protecting him! The crane startled the frog with its cry; the snake, with its speed, startled a cloud; the rooster revealed the coming storm; the snowflake fluttered with a gust of wind! In the eyes of the calf, a tear has fallen like a drop of rain!"

