"sentence no","text"
16,"અને એ ખિજાઈને ઓરડીની વચમાંથી ખસીને જમણા હાથની ભાતની પાસે પાસે ચાલવા લાગ્યું હતું. દીવાની જયોત ફરીથી ઝોકાં ખાવા લાગી હતી."
17,"અને પડછાયા કોઈ દુ:સ્વપ્નની જેમ ભીત પર વારંવાર ડોલવા લાગ્યા હતા. સ્થિતિમાં જરાયે ફેર નહોતો પડયો."
18,"સૂવર પહેલાંની જેમ જ માથું નીચું કરી કદી ડાચાથી કચરાને સૂંઘવા રોકાઈ જતું, કદી ભીતની સાથોસાથ ચાલવા લાગતું અને કદી"
19,"કિકિયારી મારી ભીંતની સાથે સાથે દોડવા લાગતું. પહેલાંની જેમ જ એની પાતળી લાંબી પૂંછડી કોઈ પાતળા લાંબા કોડાની જેમ ગૂંચળાં બનાવતી ને ખૂલતી જતી હતી."
20,"આમ નહીં ચાલે, નત્થૂએ દાંત પીસોને કહ્યું, આ રોગ મારા વશનો નથી. આ સૂવર આજે મને જ ભરખી ખાશે."
21,"એને થયું કે એકવાર ફરી સૂવરની ટાંગ પકડીને એને ઊંધો પાડવાની કોશિશ કરી જોઉં. ડાબે હાથે છરો ઊંચો ઉપાડી તે ધીરે ધીરે પગલાં માંડતો ઓરડીની વચ્ચોવચ ચાલી આવ્યો."
22,"સુવર જમણા હાથની ભીંતના છેડા સુધી પહોંચીને ડાબી બાજુ ભૌતની લગોલગ ચાલવા લાગ્યું હતું. નત્થૂને પોતાનો તરફ ધપતો જોઈને ભાગવાને બદલે વળીને નત્યૂની તરક આવવા લાગ્યું."
23,"એકવાર નત્થૂની તરફ ઝપટ મારવાનું હોય તેમ સૂવર ધૂરક્યું પણ ખરું. નત્થૂ એક એક પગલું પાછું ભરવા લાગ્યો."
24,"એની આંખો હજીયે સૂવરના ડાચા તરક મંડાયેલી હતી. હવે સૂવર એની બરાબર સામે હતું એની જ તરફ ધપી રહ્યું હતું."
25,"આ સ્થિતિમાં એની પાછલી ટાંગ પકડી પાછળની તરફ ખેંચવું અને એને પીઠ પર ઊંધું પાડવુ અશક્ય થઈ ગયું હતું."
26," સૂવરની ઝીણી ઝીણી લાલ આંખોમાં ખુમાર હતું. કોણ જાણે શુંયે કરી બેસે. પણ નત્થૂ વ્યાકુળ થઈ રહ્યો હતો."
27,"બે વાગી ચૂક્યા હતા અને જે કામ ગઈ સાંજથી અત્યાર સુધી નહોતું થઈ શક્યું તે હવે પો ફાટતાં સુધીમાં શી રીતે થશે ? ગમે ત્યારે જમાદારની રેંકડી આવી શકે છે અને કામ ન થાય તો મુરાદ અલીનો શો ભરોસો ? એ તો દોસ્ત મટી દુશ્મન પણ બની બેસે, ચામડાં અપાવવાં બંધ કરી દે, ઓરડીમાંથી કઢાવી મૂકે, કોઈને હાથે મરાવે, હેરાન કરે."
28," નત્થૂના હાથ-પગ ફલવા લાગ્યા. એ મનમાં ને મનમાં જાણતો હતો કે સૂવરને પાછલે પગે પકડવાથી તે કરડી પડશે કે ઊછળશે અને હાથ છોડાવી લેશે."
29,"અચાનક નત્થૂ ગિન્નાઈ ઊઠ્યો. કોઈ સ્પષ્ટ કારણ વિના જાણે એના અંગેઅંગમાં લાહ્ય લા્ગાં ગઈ."
30,"કાં હું નહીં, કા આ નહીં, એમ કહી એણે ઝટ પાછો વળી ગોખલા તળિયેનો મોટો પથરો ઉઠાવી લીધો. પથરો ઉપાડીને તે સીધો ઓરડીની વચ્ચોવચ પહોંચો ગયો."
31,"પથરાને બંને હાથે માથાની ઉપર ઉઠાવીને તે ક્ષણભર માટે થંભી ગયો. સૂવરનું ડાચું હજુ પણ આગલા પગ પર હતું. એ ટેટીની છાલને સૂંઘતું હતું."
32,"એની લાલ લાલ આંખો ટમટમતી હતી. પીઠ પાછળ એની નાનકડી પૂંછડી સતત હાલતી હતો."
33,"આ જો હાલે-ડોલે નહીં અને પથરો સીધો એના શરીર પર લાગે તો ક્યાંક ને ક્યાંક તો એ ધા કરશે જ અને સૂવરનું કોઈ ને કોઈ અંગ તો ટ્ટશે જ ટ્રેટશે."
34," એક ટૉગ જ ટૂટી જાય તોપણ ગનીમત, એનું ચાલવું પહેલાં કરતાં મુશ્કેલ થઈ જશે. પછી બંને હાથ તોળીને નત્થૂએ પથરાને સૂવર પર પટક્યો."
35,"ગોખલામાં મૂકેલા દીવાની જ્યોત થરથરી અને ભીત પર પડછાયા ડોલી ઊઠ્યા. પથરો સૂવરને લાગ્યો "
36,"તમસ લતો, પણ નત્થૂને બરાબર ખબર નહોતી કે ક્યાં લાગ્યો છે. સૂવરે જોરથી કિકિયારી મારી અને પથરો ધડામ કરતો ભોંય પર પડ્યો."
37,"નત્થૂ પથરો ફેંક્તાની વાર જ પાછળ હઠી ગયો. અને સૂવર તરફ તાકો તાકીને જોવા લાગ્યો. નત્થૂને જોઈને નવાઈ લાગી કે સૂવરની અર્ધમીંચી આંખો ટમટમતી હતી અને એનું ડાચું હજીયે આગલી ટાંગ પર ટેકવેલું હતુ."
38,"  અચાનક સૂવર ધૂરક્યું અને પાછલી ભીતથી ખસીને ઓરડીની વચ્ચોવચ આવવા લાગ્યું. તે ડાબે-જમણે ઝૂલી રહ્યું હતું. નત્યથૂ એક કોર, આંગણામાં ખૂલતા દરવાજા તરફ ખસીને ઊભો રહી ગયો. "
39,"દીવાના અસ્થિર પ્રકાશમાં સૂવર એક કાળા પુંજની જેમ આગળ ધપતું આવી રહ્યું હતું. પથરો એના માથા પર પડયો હતો."
40,"એને લૌીધૈ કદાચ એને તમ્મર આવી ગયાં હશે અને બરાબર દેખાતું નહીં હોય. નત્થૂ ડરી ગયો. સૂવર જરૂર એની તરક આગળ આવી રહ્યું છે."
41,"અને એ જરૂર એને કરડી ખાશે. પથરાની એની ઉપર કોઈ અસર થઈ હોય એમ લાગતું નહોતું."
42,"નત્થૂએ ઝટ દેતોક દરવાજો ખોલ્યો અને ઓરડીમાંથી બહાર નીકળી ગયો. કઈ આકૃતમાં જાન કસાઈ ગયો, એ બબડ્યો અને આંગણામાં આવી પરસાળ પર ચણેલા કઠેડા પાસે આવી ઊભો રહી ગયો."
43," બહાર પહોંચીને સ્વચ્છ હવામાં એને રાહત થઈ. ઓરડીનાં ગૂંગળાટ અને બદબૂથી એ પરેશાન થઈ ગયો હતો."
44,"એના પરસેવે તરબોળ શરીરને હવાના હળવા સ્પર્શથી અસીમ આનંદનો અનુભવ થયો."
45,"ઘડીભર તો એને લાગ્યું કે એ જાણે નવેસરથી જીવવા ન લાગ્યો હોય ! એના શિથિલ મરેલા દેહમાં ફરી પ્રાણ ન આવ્યા હોય ! મારે આ કામ સાથે શી લેવાદેવા છે ? સલોતરીને સૂવર ન મળ્યું તો ના મળ્યું મારી બલાએ."
46,"હું કાલે મુરાદ અલી સામે પૌચની નોટ ધરૌ દઈશ અને હાથ જોડીશ. હજૂર આ મારા ગજાનું કામ નથી."
47,"મારાથી આ કામ નહીં થાય. મારું શું બગાડી નાખવાનો છે એ ? બે દિવસ મોં ચડાવી રાખશે."
48," હું એના ઘૂંટણ પર હાથ મૂકોને એને મનાવી લઈશ. કઠેડા પાસે એ થભીને ઊભો રહ્યો."
49," ચાંદો ઊગી નીકળ્યો હતો અને છંટકાયેલી ચાંદનીમાં એને આસપાસનો બધો પ્રદેશ પરાયો પરાયો અને રહસ્યમય લાગતો હતો."
50,"હસામેથી પસાર થતી બળદગાડીની કાચી સડક આ સમયે સૂની પડી હતી. મૂક અને શાંત, આખો દિવસ એની ઉપર ઉત્તરનાં ગામોથી આવનાર બળદગાડીઓનો ખખડાટ અને બળદોને ગળે બાંધેલી ધંટડીઓનો રણકાર સંભળાતો."
51,"એનાં પેડાંથી સડક પર ઊંડી ઘરડ પડી ગઈ હતી. અને એની માટી પિસાઈ પિસાઈને એટલી ઝીણી થઈ ગઈ હતી કે એની પર પગ મૂકતાં જ પગ ઘૂંટણ સુધી ધૂળમાં ધૂસી જતા. "
52,"સડકની પેલે પાર મેદાન સુધી ઊતરતા સીધા ઢાળ પર નાની નાની ઝાડી અને બોરડીના છોડ અને કાંટાળી બોરડીઓ ધૂળથીજમરાયેલી હતી. અને ચાંદની રાતમાં જાણે ધોઈ."
