sentence_no,text
28,"నేను సైతం  ప్రపంచాబ్జపు  తెల్ల రేకై పల్లవిస్తాను!  నేను సైతం  విశ్వవీణకు  తంత్రినై మూర్ఛనలు పోతాను! నేను సైతం  భువన భవనపు  బావుటానై పైకి లేస్తాను!"
29," గగనమంతా నిండి, పొగలాగు క్రమ్మి-  బహుళ పంచమి జ్యోత్స్న భయపెట్టు నన్ను!"
30," ఆకాశపుటెడారి నంతటా, అకట!  ఈ రేయి రేగింది ఇసుక తుపాను!"
31 ," గాలిలో కానరాని గడుసు దయ్యాలు  భూ దివమ్ముల మధ్య ఈదుతున్నాయి!" 
32," నోరెత్తి, హోరెత్తి నొగులు సాగరము!  కరి కళేబరములా కదలదు కొండ!"
33,"ఆకాశపు టెడారిలో కాళ్లు తెగిన  ఒంటరి ఒంటెలాగుంది జాబిల్లి!"
34," విశ్వమంతా నిండి, వెలిబూదివోలె-  బహుళ పంచమి జ్యోత్స్న భయపెట్టు నన్ను!"
35,"గగనమంతా నిండి, పొగలాగు క్రమ్మి-  బహుళ పంచమి జ్యోత్స్న భయపెట్టు నన్ను!"
36,"ఆకాశపుటెడారి నంతటా, అకట!  ఈ రేయి రేగింది ఇసుక తుపాను!"
37,"గాలిలో కానరాని గడుసు దయ్యాలు  భూ దివమ్ముల మధ్య ఈదుతున్నాయి!"
38,"నోరెత్తి, హోరెత్తి నొగులు సాగరము!  కరి కళేబరములా కదలదు కొండ!"
39,"ఆకాశపు టెడారిలో కాళ్లు తెగిన  ఒంటరి ఒంటెలాగుంది జాబిల్లి!"
40,"విశ్వమంతా నిండి, వెలిబూదివోలె-  బహుళ పంచమి జ్యోత్స్న భయపెట్టు నన్ను!"
41," పట్టణాలలో, పల్లెటూళ్లలో,  బట్టబయలునా, పర్వతగుహలా,  ఎడారులందూ, సముద్రమందూ,  అడవుల వెంటా, అగడ్తలంటా,  ప్రపంచమంతా ప్రతిధ్వనిస్తూ"
42," గదిలో ఎవరూ లేరు,  గదినిండా నిశ్శబ్దం.  సాయంత్రం ఆరున్నర,  గది లోపల చినుకుల వలె చీకట్లు."
43,"ఖండపరశుగళ కపాలగణముల  కనుకొలకులలో ఒకటివలె  చూపు లేని చూపులతో తేరి  చూస్తున్నది గది."
44," గదిలోపల ఏవేవో ఆవిరులు.    దూరాన నింగిమీద తోచిన ఒక చుక్క    మిణుకు చూపులు మెలమెల్లగా విసిరి    గదిని తలపోతతో కౌగిలించుకొంటున్నది."
45," ఒక దురదృష్టజీవి    ఉదయం ఆరున్నరకు    ఆ గదిలోనే ఆరిపోయాడు."
46,"అతని దీపం ఆ గదిలో    మూలనక్కి మూలుగుతున్నది.    ప్రమిదలో చమురు త్రాగుతూ    పలు దిక్కులు చూస్తున్నది.    చీకటి బోనులో    సింహములా నిలుచున్నది."
47,"కత్తిగంటు మీద  నెత్తుటి బొట్టులాగున్నది.  ప్రమిదలో నిలిచి  పలు దిక్కులు చూస్తున్నది దీపం."
48," అకస్మాత్తుగా ఆ దీపం  ఆకాశతారను చూసింది.  రాకాసి కేకలు వేసింది.  (నీకూ నాకూ చెవుల సోకని కేకలు)  ఆకాశతార ఆదరపు చూపులు చాపింది.  అలిసిపోయింది పాపం, దీపం.  ఆకాశతార ఆహ్వానగానం చేసింది.  దీపం ఆరిపోయింది.  తారగా మారిపోయింది."
49,"గదిలో ఎవరూ లేరు,  గదినిండా నిశ్శబ్దం.  సాయంత్రం ఆరున్నర,  గది లోపల చినుకుల వలె చీకట్లు."
50,"ఖండపరశుగళ కపాలగణముల  కనుకొలకులలో ఒకటివలె  చూపు లేని చూపులతో తేరి  చూస్తున్నది గది."
51,"గదిలోపల ఏవేవో ఆవిరులు.    దూరాన నింగిమీద తోచిన ఒక చుక్క    మిణుకు చూపులు మెలమెల్లగా విసిరి    గదిని తలపోతతో కౌగిలించుకొంటున్నది."
52,"ఒక దురదృష్టజీవి    ఉదయం ఆరున్నరకు    ఆ గదిలోనే ఆరిపోయాడు."
53,"అతని దీపం ఆ గదిలో    మూలనక్కి మూలుగుతున్నది.    ప్రమిదలో చమురు త్రాగుతూ    పలు దిక్కులు చూస్తున్నది.    చీకటి బోనులో    సింహములా నిలుచున్నది."
54,"కత్తిగంటు మీద  నెత్తుటి బొట్టులాగున్నది.  ప్రమిదలో నిలిచి  పలు దిక్కులు చూస్తున్నది దీపం."
55,"అకస్మాత్తుగా ఆ దీపం  ఆకాశతారను చూసింది.  రాకాసి కేకలు వేసింది.  (నీకూ నాకూ చెవుల సోకని కేకలు)  ఆకాశతార ఆదరపు చూపులు చాపింది.  అలిసిపోయింది పాపం, దీపం.  ఆకాశతార ఆహ్వానగానం చేసింది.  దీపం ఆరిపోయింది.  తారగా మారిపోయింది."
56," కుక్కపిల్లా,అగ్గిపుల్లా,సబ్బుబిళ్లా-    హీనంగా చూడకు దేన్నీ!    కవితామయమేనోయ్ అన్నీ!  రొట్టెముక్కా,అరటితొక్కా,బల్లచెక్కా-    నీవైపే చూస్తూ ఉంటాయ్‌!    తమ లోతు కనుక్కోమంటాయ్!  తలుపుగొళ్లెం,హారతిపళ్లెం,గుర్రపుకళ్లెం-    కాదేదీ కవిత కనర్హం!    ఔనౌను శిల్పమనర్ఘం!  ఉండాలోయ్ కవితావేశం!  కానీవోయ్‌ రస నిర్దేశం!  దొరకదటోయ్ శోభాలేశం!    కళ్లంటూ ఉంటే చూసి,    వాక్కుంటే వ్రాసి!  ప్రపంచమొక పద్మవ్యూహం!  కవిత్వమొక తీరని దాహం!"
57,"కుక్కపిల్లా,అగ్గిపుల్లా,సబ్బుబిళ్లా-    హీనంగా చూడకు దేన్నీ!    కవితామయమేనోయ్ అన్నీ!  రొట్టెముక్కా,అరటితొక్కా,బల్లచెక్కా-    నీవైపే చూస్తూ ఉంటాయ్‌!    తమ లోతు కనుక్కోమంటాయ్!  తలుపుగొళ్లెం,హారతిపళ్లెం,గుర్రపుకళ్లెం-    కాదేదీ కవిత కనర్హం!    ఔనౌను శిల్పమనర్ఘం!  ఉండాలోయ్ కవితావేశం!  కానీవోయ్‌ రస నిర్దేశం!  దొరకదటోయ్‌ శోభాలేశం!    కళ్లంటూ ఉంటే చూసి,    వాక్కుంటే వ్రాసి!  ప్రపంచమొక పద్మవ్యూహం!  కవిత్వమొక తీరని దాహం!"
58," కూటికోసం, కూలికోసం  పట్టణంలో బ్రతుకుదామని-  తల్లిమాటలు చెవిన పెట్టక  బయలుదేరిన బాటసారికి,  మూడురోజులు ఒక్కతీరుగ  నడుస్తున్నా దిక్కుతెలియక-  నడిసముద్రపు నావరీతిగ  సంచరిస్తూ సంచలిస్తూ,  దిగులు పడుతూ, దీనుడౌతూ  తిరుగుతుంటే-  చండచండం, తీవ్రతీవ్రం  జ్వరం కాస్తే,  భయం వేస్తే,  ప్రలాపిస్తే-  మబ్బుపట్టీ, గాలికొట్టీ,  వానవస్తే, వరదవస్తే,  చిమ్మచీకటి క్రమ్ముకొస్తే  దారితప్పిన బాటసారికి  ఎంత కష్టం!"
59," కళ్లు వాకిట నిలిపిచూచే  పల్లెటూళ్లో తల్లి ఏమని  పలవరిస్తోందో…?  చింతనిప్పులలాగు కన్నుల  చెరిగిపోసే మంటలెత్తగ,  గుండుసూదులు గ్రుచ్చినట్లే  శిరోవేదన అతిశయించగ,  రాత్రి, నల్లని రాతి పోలిక  గుండె మీదనె కూరుచుండగ,  తల్లిపిల్చే కల్లదృశ్యం  కళ్లముందట గంతులేయగ  చెవులు సోకని పిలుపులేవో  తలచుకుంటూ, కలతకంటూ-  తల్లడిల్లే,  కెళ్లగిల్లే  పల్లటిల్లే బాటసారికి  ఎంత కష్టం!"
60,"అతని బ్రతుకున కదే ఆఖరు!  గ్రుడ్డి చీకటిలోను గూబలు  ఘాకరించాయి;  వానవెలసీ మబ్బులో ఒక  మెరుపు మెరిసింది;  వేగుజామును తెలియజేస్తూ  కోడి కూసింది;  విడిన మబ్బుల నడుమనుండీ  వేగుజుక్కా వెక్కిరించింది;  బాటసారి కళేబరంతో  శీతవాయువు ఆడుకుంటోంది!  పల్లెటూళ్లో తల్లికేదో  పాడుకలలో పేగు కదిలింది!"

